STAID,STANAME,CN,LAT,LON,HGHT
2,FALUN,SE,60.616667,15.616667,160
4,LINKOEPING,SE,58.4,15.533056,93
5,LINKOEPING-MALMSLAETT,SE,58.4,15.533056,93
7,KARLSTAD-AIRPORT,SE,59.444444,13.3375,107
8,OESTERSUND,SE,63.183056,14.483056,376
9,OESTERSUND-FROESOEN,SE,63.183056,14.483056,376
10,STOCKHOLM,SE,59.35,18.05,44
11,KREMSMUENSTER (TAWES),AT,48.055,14.130833,382
12,GRAZ-UNIVERSITAET,AT,47.077778,15.448889,367
13,INNSBRUCK-UNIV,AT,47.26,11.384167,578
14,SALZBURG-FLUGHAFEN,AT,47.789167,13.008056,430
15,SONNBLICK (TAWES),AT,47.054167,12.9575,3109
16,WIEN-HOHE WARTE,AT,48.248333,16.356389,198
21,ZAGREB-GRIC,HR,45.816667,15.978056,156
28,HELSINKI KAISANIEMI,FI,60.175,24.947778,4
29,JYVASKYLA LENTOASEMA,FI,62.401944,25.678333,139
30,SODANKYLA. LAPIN ILMATIET. TUTK.KESKUS,FI,67.365833,26.633056,179
32,BOURGES,FR,47.059167,2.359444,161
33,TOULOUSE-BLAGNAC,FR,43.620833,1.378889,151
34,BORDEAUX-MERIGNAC,FR,44.830556,0.691389,47
36,PERPIGNAN,FR,42.736944,2.872778,42
37,LYON - ST EXUPERY,FR,45.726389,5.077778,235
39,MARIGNANE,FR,43.437778,5.215833,9
40,BAMBERG,DE,49.875278,10.921667,240
41,BERLIN-DAHLEM,DE,52.463889,13.301667,51
42,BREMEN,DE,53.046389,8.799167,4
44,FRANKFURT,DE,50.046389,8.598333,112
47,HAMBURG FUHLSBUETTEL,DE,53.635,9.99,11
48,HOHENPEISSENBERG,DE,47.801667,11.011667,977
49,JENA STERNWARTE,DE,50.926667,11.584167,155
50,KAISERSLAUTERN,DE,49.425278,7.736667,285
51,KARLSRUHE,DE,49.039167,8.365,112
52,MUENCHEN,DE,48.164167,11.544167,515
54,POTSDAM,DE,52.383333,13.063889,81
55,SCHWERIN,DE,53.644167,11.388333,59
58,ZUGSPITZE,DE,47.421944,10.986667,2964
64,BUDAPEST BELTERULET,HU,47.510833,19.028056,152
65,DALATANGI,IS,65.268056,13.575556,9
67,STYKKISHOLMUR,IS,65.073889,22.733333,13
78,KANDALAKSHA,RU,67.15,32.35,26
79,KEM'-PORT,RU,64.983056,34.816389,7
80,KURSK,RU,51.766667,36.166667,246
85,SANKT-PETERBURG,RU,59.966667,30.3,3
86,MURMANSK,RU,68.966667,33.049722,57
87,MOSKVA VDNX,RU,55.833056,37.616667,147
95,PSKOV,RU,57.816667,28.333056,43
97,SMOLENSK,RU,54.75,32.066667,236
98,SORTAVALA,RU,61.716667,30.716667,17
103,VELIKIE LUKI,RU,56.35,30.616667,97
105,VOLOGDA,RU,59.316667,39.916667,125
106,HAMMER ODDE FYR,DK,55.297778,14.771667,7
107,VESTERVIG,DK,56.779167,8.331667,21
109,NORDBY (FANO),DK,55.45,8.4,4
113,TRANEBJERG,DK,55.85,10.6,11
116,KOEBENHAVN: LANDBOHOJSKOLEN-1,DK,55.683056,12.533056,9
117,HAMMER ODDE FYR-1,DK,55.3,14.783056,11
118,SANDVIG,DK,55.283056,14.783056,13
119,LANDBOHOEJSKOLEN,DK,55.685833,12.543889,7
120,BIRR,IE,53.090278,7.876389,70
121,DUBLIN PHOENIX PARK,IE,53.363889,6.319167,49
122,MALIN HEAD,IE,55.371667,7.34,21
160,DEN HELDER,NL,52.961389,4.746944,4
161,DE KOOY,NL,52.926667,4.780833,1
162,DE BILT,NL,52.098889,5.179444,1
163,GRONINGEN,NL,53.216667,6.55,2
164,EELDE,NL,53.123333,6.584444,5
165,WEST SOUBURG,NL,51.45,3.6,8
166,VLISSINGEN,NL,51.441389,3.595556,8
168,MAASTRICHT,NL,50.905278,5.761667,114
174,BRINDISI,IT,40.633056,17.933056,10
175,CAGLIARI,IT,39.233056,9.05,21
179,BJOERNOEYA,NO,74.516667,19.016667,16
185,SUOLOVUOPMI,NO,69.588056,23.531667,377
186,SVALBARD AIRPORT,NO,78.25,15.466667,28
187,HOPEN,NO,76.5,25.066667,6
188,GLOMFJORD,NO,66.816667,13.983056,39
189,JAN MAYEN,NO,70.933056,8.666667,10
190,KARASJOK,NO,69.466667,25.503056,129
191,KJOEREMSGRENDE,NO,62.1,9.05,626
192,FAERDER FYR,NO,59.026667,10.53,6
193,OSLO BLINDERN,NO,59.942778,10.720556,94
194,UTSIRA FYR,NO,59.307778,4.878056,55
195,VARDOE,NO,70.366944,31.084444,14
196,NESBYEN-SKOGLUND,NO,60.568333,9.121667,167
198,GULBENE,LV,57.133056,26.716667,141
199,LIEPAJA,LV,56.483056,21.016667,7
203,LUXEMBOURG AIRPORT,LU,49.625833,6.203333,376
204,BIALYSTOK,PL,53.106944,23.161944,148
205,HEL,PL,54.603333,18.811667,1
206,POZNAN,PL,52.199444,18.660278,115
207,RZESZOW JASIONKA,PL,50.110556,22.041944,206
208,SZCZECIN,PL,53.395278,14.622778,1
